"lon","lat"
-143.9091796875,-75.6527862548828
-143.367797851562,-75.5897369384766
-142.745574951172,-75.6361236572266
-142.674743652344,-75.6191711425781
-142.649871826172,-75.5934143066406
-142.669525146484,-75.5477828979492
-142.615295410156,-75.4934844970703
-142.56640625,-75.4805603027344
-142.178894042969,-75.5008392333984
-141.601959228516,-75.4966735839844
-141.210021972656,-75.5188903808594
-140.243621826172,-75.4669494628906
-139.995025634766,-75.4169464111328
-139.726959228516,-75.2908477783203
-139.506958007812,-75.1650085449219
-139.327789306641,-75.1066741943359
-138.571411132812,-75.0766754150391
-137.683624267578,-75.0761260986328
-137.550979614258,-75.0650100708008
-137.5,-75.0330657958984
-137.453338623047,-75.0252838134766
-137.020843505859,-75.0116729736328
-136.871398925781,-74.9827880859375
-136.801467895508,-74.943962097168
-136.717437744141,-74.827507019043
-136.756820678711,-74.769660949707
-136.737518310547,-74.7516784667969
-136.509185791016,-74.7480621337891
-136.242797851562,-74.7088928222656
-135.858612060547,-74.727783203125
-135.762649536133,-74.7108383178711
-135.666397094727,-74.6570892333984
-135.561950683594,-74.6233367919922
-135.163635253906,-74.5855560302734
-134.588897705078,-74.5736236572266
-134.303894042969,-74.5327911376953
-134.274749755859,-74.5377807617188
-134.130981445312,-74.6729888916016
-134.151397705078,-74.702018737793
-134.129730224609,-74.7311248779297
-133.872802734375,-74.7547302246094
-133.824188232422,-74.7673721313477
-133.732788085938,-74.8319549560547
-133.262512207031,-74.8472290039062
-132.949188232422,-74.8069458007812
-132.632507324219,-74.7291717529297
-132.275177001953,-74.7770843505859
-132.069732666016,-74.7327880859375
-131.842224121094,-74.7238922119141
-131.728912353516,-74.7272338867188
-131.386413574219,-74.7944488525391
-130.5341796875,-74.774169921875
-130.000305175781,-74.8480682373047
-129.650299072266,-74.8613891601562
-129.304473876953,-74.8258361816406
-129.162506103516,-74.8300018310547
-128.857513427734,-74.7847290039062
-128.638916015625,-74.7877807617188
-128.432800292969,-74.7308349609375
-127.993347167969,-74.7025146484375
-127.800567626953,-74.6725006103516
-127.140007019043,-74.6688995361328
-126.811401367188,-74.6347351074219
-125.291122436523,-74.6738891601562
-124.839447021484,-74.6500091552734
-124.294166564941,-74.7144470214844
-123.776947021484,-74.7200012207031
-123.470840454102,-74.7433471679688
-123.271667480469,-74.7322235107422
-122.925003051758,-74.6791687011719
-122.743621826172,-74.6727905273438
-122.359176635742,-74.7100067138672
-121.966667175293,-74.695556640625
-121.47834777832,-74.7425079345703
-121.013633728027,-74.7075042724609
-120.656402587891,-74.7113952636719
-120.255836486816,-74.6594543457031
-119.913619995117,-74.6575012207031
-119.195556640625,-74.6036224365234
-118.531677246094,-74.6136169433594
-118.380569458008,-74.5797271728516
-118.353057861328,-74.5672302246094
-118.345909118652,-74.5355682373047
-118.368896484375,-74.5152893066406
-118.500839233398,-74.4769592285156
-118.537086486816,-74.4557037353516
-118.525146484375,-74.4338912963867
-118.193069458008,-74.3969573974609
-117.743057250977,-74.3086242675781
-117.618270874023,-74.3211898803711
-117.654167175293,-74.3491668701172
-117.620002746582,-74.4759063720703
-117.558326721191,-74.5055694580078
-117.396957397461,-74.5308380126953
-116.764450073242,-74.5472259521484
-115.988067626953,-74.5252838134766
-115.881256103516,-74.4916763305664
-115.817497253418,-74.4308471679688
-115.731399536133,-74.4094543457031
-115.631332397461,-74.4196014404297
-115.543617248535,-74.4736175537109
-115.433326721191,-74.4933471679688
-115.235000610352,-74.4886169433594
-115.021118164062,-74.4563903808594
-114.697776794434,-74.4691772460938
-114.655288696289,-74.461669921875
-114.639450073242,-74.4422302246094
-114.640838623047,-74.325569152832
-114.720420837402,-74.2925720214844
-114.806671142578,-74.1683349609375
-114.816955566406,-74.1366729736328
-114.806732177734,-74.103141784668
-114.552505493164,-73.9645919799805
-114.279449462891,-73.9514007568359
-114.101669311523,-73.8977813720703
-114.003616333008,-73.8891754150391
-113.864463806152,-73.9075012207031
-113.787506103516,-73.9362564086914
-113.762855529785,-73.9625091552734
-113.806533813477,-74.0050735473633
-113.776947021484,-74.0213928222656
-113.313064575195,-74.0755615234375
-113.184860229492,-74.1850051879883
-113.364181518555,-74.2233428955078
-113.51000213623,-74.3019561767578
-113.517501831055,-74.3327789306641
-113.494171142578,-74.3938903808594
-113.448341369629,-74.4627914428711
-113.363891601562,-74.4791717529297
-113.033622741699,-74.4227905273438
-112.933616638184,-74.4469528198242
-112.94945526123,-74.475700378418
-112.988342285156,-74.4934844970703
-113.548896789551,-74.6313934326172
-113.445419311523,-74.7063980102539
-113.151397705078,-74.6950073242188
-112.942497253418,-74.7080688476562
-112.637222290039,-74.6847229003906
-112.590209960938,-74.7047958374023
-112.60417175293,-74.7273712158203
-112.703269958496,-74.7554168701172
-112.737785339355,-74.7884750366211
-112.716949462891,-74.8391723632812
-112.654167175293,-74.8586120605469
