OccurrenceID;Dvpt type;Mission;Year;Latitude;Longitude;Station;Station_Year;Bioregion;Depth (GEBCO);PF;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species2
4014;;JR15005 British Antarctic Survey;2016;-60.99443;-46.83181;-60,99443_-46,83181;-60,99443_-46,83181_2016;South Orkney Islands;-507;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4015;;JR15005 British Antarctic Survey;2016;-61.03592;-46.95517;-61,03592_-46,95517;-61,03592_-46,95517_2016;South Orkney Islands;-1630;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4016;;JR15005 British Antarctic Survey;2016;-61.5332;-47.14056;-61,5332_-47,14056;-61,5332_-47,14056_2016;South Orkney Islands;-817;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4017;;JR15005 British Antarctic Survey;2016;-61.53567;-46.93724;-61,53567_-46,93724;-61,53567_-46,93724_2016;South Orkney Islands;-564;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4018;;JR15005 British Antarctic Survey;2016;-61.53737;-47.12975;-61,53737_-47,12975;-61,53737_-47,12975_2016;South Orkney Islands;-791;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4019;;JR15005 British Antarctic Survey;2016;-61.54119;-47.24357;-61,54119_-47,24357;-61,54119_-47,24357_2016;South Orkney Islands;-1067;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4020;;JR15005 British Antarctic Survey;2016;-62.15421;-44.99019;-62,15421_-44,99019;-62,15421_-44,99019_2016;South Orkney Islands;-556;South;178249;Cheiraster (Luidiaster) hirsutus;(Studer, 1884);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;hirsutus
4021;;JR15005 British Antarctic Survey;2016;-61.758499;-47.124802;-61,758499_-47,124802;-61,758499_-47,124802_2016;South Orkney Islands;-1164;South;178251;Cheiraster (Luidiaster) planeta;(Sladen, 1889);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;planeta
4022;;JR15005 British Antarctic Survey;2016;-61.77017;-47.10667;-61,77017_-47,10667;-61,77017_-47,10667_2016;South Orkney Islands;-1188;South;178251;Cheiraster (Luidiaster) planeta;(Sladen, 1889);Animalia;Echinodermata;Asteroidea;Notomyotida;Benthopectinidae;Cheiraster;Luidiaster;planeta
4023;;JR15005 British Antarctic Survey;2016;-60.27279;-46.87778;-60,27279_-46,87778;-60,27279_-46,87778_2016;South Orkney Islands;-486;South;559186;Chitonaster trangae;Mah, 2011;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Chitonaster;;trangae
