"zone","label","data2.lat","data2.lon"
"R-04",87,-73.4166641235352,-57.0833320617676
"R-04",88,-73.4166641235352,-56.5833320617676
"R-05",89,-73.4166641235352,-26.5833339691162
"R-05",90,-73.4166641235352,-26.0833339691162
"R-05",91,-73.4166641235352,-25.5833339691162
"R-05",92,-73.4166641235352,-25.0833339691162
"R-05",93,-73.4166641235352,-24.5833339691162
"R-05",94,-73.4166641235352,-24.0833339691162
"R-05",95,-73.4166641235352,-23.5833339691162
"R-04",96,-73.0833358764648,-57.0833320617676
"R-04",97,-73.0833358764648,-56.5833320617676
"R-05",98,-73.0833358764648,-23.5833339691162
"R-05",99,-73.0833358764648,-23.0833339691162
"R-04",100,-72.75,-57.0833320617676
"R-04",101,-72.75,-56.5833320617676
"R-05",102,-72.75,-23.0833339691162
"R-05",103,-72.75,-22.5833339691162
"R-05",104,-72.75,-22.0833339691162
"R-03",105,-72.4166641235352,-81.5833358764648
"R-04",106,-72.4166641235352,-57.0833320617676
"R-04",107,-72.4166641235352,-56.5833320617676
"R-05",108,-72.4166641235352,-22.0833339691162
"R-05",109,-72.4166641235352,-21.5833339691162
"R-05",110,-72.4166641235352,-21.0833339691162
"R-03",111,-72.0833358764648,-81.5833358764648
"R-04",112,-72.0833358764648,-57.0833320617676
"R-04",113,-72.0833358764648,-56.5833320617676
"R-05",114,-72.0833358764648,-21.0833339691162
"R-05",115,-72.0833358764648,-20.5833339691162
"R-05",116,-72.0833358764648,-20.0833339691162
"R-05",117,-72.0833358764648,-19.5833339691162
"R-03",118,-71.75,-81.5833358764648
"R-03",119,-71.75,-81.0833358764648
"R-04",120,-71.75,-57.5833320617676
"R-04",121,-71.75,-57.0833320617676
"R-05",122,-71.75,-19.0833339691162
"R-05",123,-71.75,-18.5833339691162
"R-05",124,-71.75,-18.0833339691162
"R-05",125,-71.75,-17.5833339691162
"R-03",126,-71.4166641235352,-81.0833358764648
"R-03",127,-71.4166641235352,-80.5833358764648
"R-03",128,-71.4166641235352,-80.0833358764648
"R-03",129,-71.4166641235352,-79.5833358764648
"R-03",130,-71.4166641235352,-79.0833358764648
"R-03",131,-71.4166641235352,-78.5833358764648
"R-04",132,-71.4166641235352,-58.0833320617676
"R-04",133,-71.4166641235352,-57.5833320617676
"R-05",134,-71.4166641235352,-17.5833339691162
"R-05",135,-71.4166641235352,-17.0833339691162
"R-05",136,-71.4166641235352,-16.5833339691162
"R-05",137,-71.4166641235352,-16.0833339691162
"R-05",138,-71.4166641235352,-15.5833330154419
"R-05",139,-71.4166641235352,-15.0833330154419
"R-03",140,-71.0833358764648,-79.5833358764648
"R-03",141,-71.0833358764648,-79.0833358764648
"R-04",142,-71.0833358764648,-58.0833320617676
"R-04",143,-71.0833358764648,-57.5833320617676
"R-05",144,-71.0833358764648,-15.0833330154419
"R-05",145,-71.0833358764648,-14.5833330154419
"R-05",146,-71.0833358764648,-14.0833330154419
"R-03",147,-70.75,-79.0833358764648
"R-03",148,-70.75,-78.5833358764648
"R-04",149,-70.75,-58.0833320617676
"R-04",150,-70.75,-57.5833320617676
"R-05",151,-70.75,-14.5833330154419
"R-05",152,-70.75,-14.0833330154419
"R-05",153,-70.75,-13.5833330154419
"R-03",154,-70.4166641235352,-78.5833358764648
"R-03",155,-70.4166641235352,-78.0833358764648
"R-04",156,-70.4166641235352,-58.5833320617676
"R-04",157,-70.4166641235352,-58.0833320617676
"R-04",158,-70.4166641235352,-57.5833320617676
"R-05",159,-70.4166641235352,-13.0833330154419
"R-05",160,-70.4166641235352,-12.5833330154419
"R-05",161,-70.4166641235352,-12.0833330154419
"R-03",162,-70.0833358764648,-78.5833358764648
"R-03",163,-70.0833358764648,-78.0833358764648
"R-04",164,-70.0833358764648,-59.0833320617676
"R-04",165,-70.0833358764648,-58.5833320617676
"R-04",166,-70.0833358764648,-58.0833320617676
"R-05",167,-70.0833358764648,-12.0833330154419
"R-05",168,-70.0833358764648,-11.5833330154419
"R-05",169,-70.0833358764648,-11.0833330154419
"R-03",170,-69.75,-78.5833358764648
"R-03",171,-69.75,-78.0833358764648
"R-04",172,-69.75,-59.0833320617676
"R-04",173,-69.75,-58.5833320617676
"R-05",174,-69.75,-11.0833330154419
"R-05",175,-69.75,-10.5833330154419
"R-05",176,-69.75,-10.0833330154419
"R-03",177,-69.4166641235352,-78.0833358764648
"R-03",178,-69.4166641235352,-77.5833358764648
"R-04",179,-69.4166641235352,-59.0833320617676
"R-04",180,-69.4166641235352,-58.5833320617676
"R-03",181,-69.0833358764648,-77.5833358764648
"R-03",182,-69.0833358764648,-77.0833358764648
"R-03",183,-69.0833358764648,-76.5833358764648
"R-03",184,-69.0833358764648,-76.0833358764648
"R-04",185,-69.0833358764648,-58.5833320617676
